seed,duration,num_tries,num_input_toks,num_output_toks
0,56.277424812316895,50,57388,484
1,50.74815893173218,50,57388,536
2,52.25688600540161,50,57388,535
3,61.21827006340027,50,57388,538
4,58.45506691932678,50,57388,490
5,51.75542497634888,50,57388,501
6,57.33479309082031,50,57388,505
7,61.78586721420288,50,57388,516
8,54.635993003845215,50,57388,502
9,58.85702586174011,50,57388,486
10,68.2063820362091,50,57388,501
11,58.13870310783386,50,57388,482
12,53.92662596702576,50,57388,452
13,60.26806688308716,50,57388,594
14,52.289880990982056,50,57388,514
15,57.66186499595642,50,57388,469
16,53.20302200317383,50,57388,489
17,57.98563575744629,50,57388,567
18,52.20222878456116,50,57388,453
19,55.120441198349,50,57388,503
20,55.39720606803894,50,57388,497
21,55.913613080978394,50,57388,582
22,52.91692495346069,50,57388,487
23,54.41996192932129,50,57388,552
24,51.45105981826782,50,57388,413
25,58.37974214553833,50,57388,573
26,71.87416100502014,50,57388,571
27,57.109018087387085,50,57388,516
28,54.760030031204224,50,57388,537
29,47.384013175964355,50,57388,411
