graph_nr,metric_name,_metric_value,save_name,node
0.0,density,0.07020408163265306,global-expressive_gpt-4o_w_names_w_interests_w_reason_dating,
0.0,avg_clustering_coef,0.1936190476190476,global-expressive_gpt-4o_w_names_w_interests_w_reason_dating,
0.0,prop_nodes_lcc,1.0,global-expressive_gpt-4o_w_names_w_interests_w_reason_dating,
0.0,radius,1.2781110931766573,global-expressive_gpt-4o_w_names_w_interests_w_reason_dating,
0.0,diameter,2.0449777490826517,global-expressive_gpt-4o_w_names_w_interests_w_reason_dating,
0.0,avg_shortest_path,0.9045896471707443,global-expressive_gpt-4o_w_names_w_interests_w_reason_dating,
0.0,modularity,0.5578015143320714,global-expressive_gpt-4o_w_names_w_interests_w_reason_dating,
1.0,density,0.06285714285714286,global-expressive_gpt-4o_w_names_w_interests_w_reason_dating,
1.0,avg_clustering_coef,0.19333333333333333,global-expressive_gpt-4o_w_names_w_interests_w_reason_dating,
1.0,prop_nodes_lcc,0.96,global-expressive_gpt-4o_w_names_w_interests_w_reason_dating,
1.0,radius,1.8082243676513015,global-expressive_gpt-4o_w_names_w_interests_w_reason_dating,
1.0,diameter,3.099813201687945,global-expressive_gpt-4o_w_names_w_interests_w_reason_dating,
1.0,avg_shortest_path,1.401969298222045,global-expressive_gpt-4o_w_names_w_interests_w_reason_dating,
1.0,modularity,0.6650362624388598,global-expressive_gpt-4o_w_names_w_interests_w_reason_dating,
2.0,density,0.09224489795918367,global-expressive_gpt-4o_w_names_w_interests_w_reason_dating,
2.0,avg_clustering_coef,0.18495238095238092,global-expressive_gpt-4o_w_names_w_interests_w_reason_dating,
2.0,prop_nodes_lcc,1.0,global-expressive_gpt-4o_w_names_w_interests_w_reason_dating,
2.0,radius,1.0224888745413259,global-expressive_gpt-4o_w_names_w_interests_w_reason_dating,
2.0,diameter,1.5337333118119887,global-expressive_gpt-4o_w_names_w_interests_w_reason_dating,
2.0,avg_shortest_path,0.7263844433221133,global-expressive_gpt-4o_w_names_w_interests_w_reason_dating,
2.0,modularity,0.46922233534340985,global-expressive_gpt-4o_w_names_w_interests_w_reason_dating,
3.0,density,0.06775510204081632,global-expressive_gpt-4o_w_names_w_interests_w_reason_dating,
3.0,avg_clustering_coef,0.18866666666666668,global-expressive_gpt-4o_w_names_w_interests_w_reason_dating,
3.0,prop_nodes_lcc,1.0,global-expressive_gpt-4o_w_names_w_interests_w_reason_dating,
3.0,radius,1.5337333118119887,global-expressive_gpt-4o_w_names_w_interests_w_reason_dating,
3.0,diameter,2.5562221863533146,global-expressive_gpt-4o_w_names_w_interests_w_reason_dating,
3.0,avg_shortest_path,1.0283316681101335,global-expressive_gpt-4o_w_names_w_interests_w_reason_dating,
3.0,modularity,0.6153287850195965,global-expressive_gpt-4o_w_names_w_interests_w_reason_dating,
4.0,density,0.06775510204081632,global-expressive_gpt-4o_w_names_w_interests_w_reason_dating,
4.0,avg_clustering_coef,0.1701904761904762,global-expressive_gpt-4o_w_names_w_interests_w_reason_dating,
4.0,prop_nodes_lcc,1.0,global-expressive_gpt-4o_w_names_w_interests_w_reason_dating,
4.0,radius,1.2781110931766573,global-expressive_gpt-4o_w_names_w_interests_w_reason_dating,
4.0,diameter,1.7893555304473203,global-expressive_gpt-4o_w_names_w_interests_w_reason_dating,
4.0,avg_shortest_path,0.9340122862136683,global-expressive_gpt-4o_w_names_w_interests_w_reason_dating,
4.0,modularity,0.5492814632022064,global-expressive_gpt-4o_w_names_w_interests_w_reason_dating,
5.0,density,0.0783673469387755,global-expressive_gpt-4o_w_names_w_interests_w_reason_dating,
5.0,avg_clustering_coef,0.36766666666666664,global-expressive_gpt-4o_w_names_w_interests_w_reason_dating,
5.0,prop_nodes_lcc,1.0,global-expressive_gpt-4o_w_names_w_interests_w_reason_dating,
5.0,radius,1.5337333118119887,global-expressive_gpt-4o_w_names_w_interests_w_reason_dating,
5.0,diameter,2.5562221863533146,global-expressive_gpt-4o_w_names_w_interests_w_reason_dating,
5.0,avg_shortest_path,1.0012044122549553,global-expressive_gpt-4o_w_names_w_interests_w_reason_dating,
